Flight Time Rounded (s),Thrust (lb),Accel (ft/sec^2),Weight (lb)
4.35,0,-130.9490824,36.6586
4.36,0,-130.509982,36.6586
4.37,0,-130.0739361,36.6586
4.38,0,-129.6402322,36.6586
4.39,0,-129.2097607,36.6586
4.4,0,-128.7816184,36.6586
4.41,0,-128.3560031,36.6586
4.42,0,-127.9330124,36.6586
4.43,0,-127.5130087,36.6586
4.44,0,-127.0954164,36.6586
4.45,0,-126.6804182,36.6586
4.46,0,-126.2678053,36.6586
4.47,0,-125.8578734,36.6586
4.48,0,-125.4502246,36.6586
4.49,0,-125.0452585,36.6586
4.5,0,-124.6426618,36.6586
4.51,0,-124.2425491,36.6586
4.52,0,-123.8448337,36.6586
4.53,0,-123.4496028,36.6586
4.54,0,-123.05657,36.6586
4.55,0,-122.6661367,36.6586
4.56,0,-122.2780142,36.6586
4.57,0,-121.8922036,36.6586
4.58,0,-121.5088173,36.6586
4.59,0,-121.1277562,36.6586
4.6,0,-120.7487285,36.6586
4.61,0,-120.371925,36.6586
4.62,0,-119.9974556,36.6586
4.63,0,-119.6253095,36.6586
4.64,0,-119.2550941,36.6586
4.65,0,-118.8870982,36.6586
4.66,0,-118.5214213,36.6586
4.67,0,-118.1577758,36.6586
4.68,0,-117.7961328,36.6586
4.69,0,-117.4368954,36.6586
4.7,0,-117.0795588,36.6586
4.71,0,-116.7244117,36.6586
4.72,0,-116.3711662,36.6586
4.73,0,-116.0200114,36.6586
4.74,0,-115.6708585,36.6586
4.75,0,-115.3238811,36.6586
4.76,0,-114.9787047,36.6586
4.77,0,-114.6357209,36.6586
4.78,0,-114.2944223,36.6586
4.79,0,-113.955416,36.6586
4.8,0,-113.6182237,36.6586
4.81,0,-113.2827333,36.6586
4.82,0,-112.9494455,36.6586
4.83,0,-112.6178723,36.6586
4.84,0,-112.288113,36.6586
4.85,0,-111.9603557,36.6586
4.86,0,-111.6344252,36.6586
4.87,0,-111.3102202,36.6586
4.88,0,-110.9877275,36.6586
4.89,0,-110.667059,36.6586
4.9,0,-110.3482901,36.6586
4.91,0,-110.0313448,36.6586
4.92,0,-109.7161106,36.6586
4.93,0,-109.4024992,36.6586
4.94,0,-109.0905952,36.6586
4.95,0,-108.7804012,36.6586
4.96,0,-108.4719012,36.6586
4.97,0,-108.1653027,36.6586
4.98,0,-107.8603987,36.6586
4.99,0,-107.5571918,36.6586
5,0,-107.2555917,36.6586
5.01,0,-106.9555872,36.6586
5.02,0,-106.6572785,36.6586
5.03,0,-106.3605652,36.6586
5.04,0,-106.0654491,36.6586
5.05,0,-105.7720271,36.6586
5.06,0,-105.4799247,36.6586
5.07,0,-105.1893171,36.6586
5.08,0,-104.9004176,36.6586
5.09,0,-104.6130263,36.6586
5.1,0,-104.3272401,36.6586
5.11,0,-104.042963,36.6586
5.12,0,-103.7602904,36.6586
5.13,0,-103.4791271,36.6586
5.14,0,-103.1992793,36.6586
5.15,0,-102.9210381,36.6586
5.16,0,-102.6442142,36.6586
5.17,0,-102.3688958,36.6586
5.18,0,-102.0948924,36.6586
5.19,0,-101.8223944,36.6586
5.2,0,-101.5513004,36.6586
5.21,0,-101.2818101,36.6586
5.22,0,-101.0135362,36.6586
5.23,0,-100.7466649,36.6586
5.24,0,-100.4812866,36.6586
5.25,0,-100.2172216,36.6586
5.26,0,-99.95453804,36.6586
5.27,0,-99.69305778,36.6586
5.28,0,-99.43302873,36.6586
5.29,0,-99.17443314,36.6586
5.3,0,-98.91707863,36.6586
5.31,0,-98.66109681,36.6586
5.32,0,-98.34119808,36.6586
5.33,0,-98.01394145,36.6586
5.34,0,-97.69506285,36.6586
5.35,0,-97.38443009,36.6586
5.36,0,-97.08199929,36.6586
5.37,0,-96.78759223,36.6586
5.38,0,-96.50110586,36.6586
5.39,0,-96.22240141,36.6586
5.4,0,-95.9513601,36.6586
5.41,0,-95.68784928,36.6586
5.42,0,-95.43178794,36.6586
5.43,0,-95.18299756,36.6586
5.44,0,-94.94144844,36.6586
5.45,0,-94.70693882,36.6586
5.46,0,-94.47941758,36.6586
5.47,0,-94.25881555,36.6586
5.48,0,-94.04495121,36.6586
5.49,0,-93.8377924,36.6586
5.5,0,-93.6372525,36.6586
5.51,0,-93.44318872,36.6586
5.52,0,-93.25554153,36.6586
5.53,0,-93.07426167,36.6586
5.54,0,-92.89919605,36.6586
5.55,0,-92.73034763,36.6586
5.56,0,-92.56755582,36.6586
5.57,0,-92.41075883,36.6586
5.58,0,-92.25994646,36.6586
5.59,0,-92.11503096,36.6586
5.6,0,-91.97586976,36.6586
5.61,0,-91.84242348,36.6586
5.62,0,-91.69900004,36.6586
5.63,0,-91.55302947,36.6586
5.64,0,-91.4075542,36.6586
5.65,0,-91.26248527,36.6586
5.66,0,-91.11793068,36.6586
5.67,0,-90.97379105,36.6586
5.68,0,-90.83015563,36.6586
5.69,0,-90.68695665,36.6586
5.7,0,-90.54417228,36.6586
5.71,0,-90.40188117,36.6586
5.72,0,-90.26003732,36.6586
5.73,0,-90.11861861,36.6586
